0,Genesis,1,1,1001001-1001999,1,1
0,Genesis,1,2,1002001-1002999,1,2
0,Genesis,1,3,1003001-1003999,1,3
0,Genesis,1,4,1004001-1004999,1,4
0,Genesis,1,5,1005001-1005999,1,5
0,Genesis,1,6,1006001-1006999,1,6
0,Genesis,1,7,1007001-1007999,1,7
0,Genesis,1,8,1008001-1008999,1,8
0,Genesis,1,9,1009001-1009999,1,9
0,Genesis,1,10,1010001-1010999,1,10
0,Genesis,1,11,1011001-1011999,1,11
0,Genesis,1,12,1012001-1012999,1,12
0,Genesis,1,13,1013001-1013999,1,13
0,Genesis,1,14,1014001-1014999,1,14
0,Genesis,1,15,1015001-1015999,1,15
0,Genesis,1,16,1016001-1016999,1,16
0,Genesis,1,17,1017001-1017999,1,17
0,Genesis,1,18,1018001-1018999,1,18
0,Genesis,1,19,1019001-1019999,1,19
0,Genesis,1,20,1020001-1020999,1,20
0,Genesis,1,21,1021001-1021999,1,21
0,Genesis,1,22,1022001-1022999,1,22
0,Genesis,1,23,1023001-1023999,1,23
0,Genesis,1,24,1024001-1024999,1,24
0,Genesis,1,25,1025001-1025999,1,25
0,Genesis,1,26,1026001-1026999,1,26
0,Genesis,1,27,1027001-1027999,1,27
0,Genesis,1,28,1028001-1028999,1,28
0,Genesis,1,29,1029001-1029999,1,29
0,Genesis,1,30,1030001-1030999,1,30
0,Genesis,1,31,1031001-1031999,1,31
0,Genesis,1,32,1032001-1032999,1,32
0,Genesis,1,33,1033001-1033999,1,33
0,Genesis,1,34,1034001-1034999,1,34
0,Genesis,1,35,1035001-1035999,1,35
0,Genesis,1,36,1036001-1036999,1,36
0,Genesis,1,37,1037001-1037999,1,37
0,Genesis,1,38,1038001-1038999,1,38
0,Genesis,1,39,1039001-1039999,1,39
0,Genesis,1,40,1040001-1040999,1,40
0,Genesis,1,41,1041001-1041999,1,41
0,Genesis,1,42,1042001-1042999,1,42
0,Genesis,1,43,1043001-1043999,1,43
0,Genesis,1,44,1044001-1044999,1,44
0,Genesis,1,45,1045001-1045999,1,45
0,Genesis,1,46,1046001-1046999,1,46
0,Genesis,1,47,1047001-1047999,1,47
0,Genesis,1,48,1048001-1048999,1,48
0,Genesis,1,49,1049001-1049999,1,49
0,Genesis,1,50,1050001-1050999,1,50
0,Exodus,2,1,2001001-2001999,1,51
0,Exodus,2,2,2002001-2002999,1,52
0,Exodus,2,3,2003001-2003999,1,53
0,Exodus,2,4,2004001-2004999,1,54
0,Exodus,2,5,2005001-2005999,1,55
0,Exodus,2,6,2006001-2006999,1,56
0,Exodus,2,7,2007001-2007999,1,57
0,Exodus,2,8,2008001-2008999,1,58
0,Exodus,2,9,2009001-2009999,1,59
0,Exodus,2,10,2010001-2010999,1,60
0,Exodus,2,11,2011001-2011999,1,61
0,Exodus,2,12,2012001-2012999,1,62
0,Exodus,2,13,2013001-2013999,1,63
0,Exodus,2,14,2014001-2014999,1,64
0,Exodus,2,15,2015001-2015999,1,65
0,Exodus,2,16,2016001-2016999,1,66
0,Exodus,2,17,2017001-2017999,1,67
0,Exodus,2,18,2018001-2018999,1,68
0,Exodus,2,19,2019001-2019999,1,69
0,Exodus,2,20,2020001-2020999,1,70
0,Exodus,2,21,2021001-2021999,1,71
0,Exodus,2,22,2022001-2022999,1,72
0,Exodus,2,23,2023001-2023999,1,73
0,Exodus,2,24,2024001-2024999,1,74
0,Exodus,2,25,2025001-2025999,1,75
0,Exodus,2,26,2026001-2026999,1,76
0,Exodus,2,27,2027001-2027999,1,77
0,Exodus,2,28,2028001-2028999,1,78
